"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1,1]",0.802726087158018,0.0528687411868632,0.688915918174887,0.769840305833003,0.806004355003045,0.840008610441905,0.896371750698548,1.02581471085028,65
"alpha[2,1]",0.184173156310529,0.0548106543883282,0.0988303337768266,0.144729698068865,0.176974825977456,0.215559839351614,0.310999783582538,1.00646967117705,270
"alpha[1,2]",0.85779609232423,0.0480411879656385,0.749413180571221,0.82853918313254,0.863177517692164,0.892876043509299,0.935930167750952,1.03355008456142,56
"alpha[2,2]",0.142778370611924,0.0497741687351074,0.0654256007979851,0.107037976218579,0.136549525114441,0.171081197572851,0.258003387841202,1.0181759600331,91
"alpha[1,3]",0.848092493747285,0.0516585917352997,0.738182215261201,0.815590578551985,0.852582606590305,0.884662367370284,0.937183635085461,1.0020421593935,1200
"alpha[2,3]",0.0823124799436553,0.0284486757882588,0.035884100894435,0.0620464496806926,0.0793226525940676,0.0988500952389346,0.147129662560597,1.00529577936082,360
"alpha[1,4]",0.719740444803281,0.106597916488633,0.520721850683254,0.648560154051904,0.712671049730035,0.788763021976998,0.945024220760459,1.00098317347812,5000
"alpha[2,4]",0.186940993476523,0.0821731785828246,0.0429984814749482,0.130980628723369,0.17845039048116,0.235452438906191,0.372367240844339,1.00290270223541,710
"alpha[1,5]",0.724162079503068,0.0955957062921588,0.506488609635855,0.666383585197691,0.733910252709971,0.791862009621156,0.883607408856647,1.00521532496445,660
"alpha[2,5]",0.0734263555781107,0.0303504024099891,0.0282485316378546,0.0517967194072593,0.0686817465194833,0.0893890838972023,0.144930650750192,1.0019759662994,1300
"alpha[1,6]",0.642326396914104,0.115254102175672,0.400714233492786,0.568145315282441,0.647353815101065,0.724735731714442,0.851420992220897,1.01144439012356,160
"alpha[2,6]",0.173398367619723,0.0899674284964524,0.0478335311361933,0.110736009582226,0.156125802126334,0.217564615884782,0.394531619808106,1.00673802750244,260
"alpha_mu[1]",0.02486589353786,1.6376024082244,-3.24938213018146,-1.06537508593127,0.0127780819547436,1.12853643856282,3.31673269735587,1.00109452483336,5000
"alpha_mu[2]",-0.0102997089789944,1.58890772994928,-3.14209164529885,-1.05854201812937,-0.00665345571535995,1.04976989533454,3.07751556146942,1.00088601229196,5000
"alpha_tau[1]",2.51146610144317,1.45562279882223,0.12047659134092,1.23839974273774,2.52741938044546,3.78821300042817,4.89855800521039,1.00131265349899,2900
"alpha_tau[2]",2.52500326488096,1.45077996279741,0.122314842948903,1.27845959715547,2.52296357613386,3.79188406963001,4.89128038476579,1.001860374896,1600
"gamma[1,1]",0.929947968267219,0.0374261477995951,0.864398263870293,0.904028793021818,0.927062750479636,0.952534458615633,1.01066746410851,1.05590779541835,41
"gamma[2,1]",0.155441845068352,0.0905110072209492,0.00899267899017955,0.0841718285089319,0.148903133218607,0.217039915017334,0.344536159106486,1.02198142093912,130
"gamma[1,2]",0.843530092251085,0.0353999132496306,0.777002794230778,0.819878171836961,0.842081887305638,0.866384395899154,0.916685165407962,1.02868036096411,64
"gamma[2,2]",0.0797923826519248,0.0626353726434896,0.00276129666686379,0.0300131053885157,0.0658091994459894,0.115808824482059,0.230252285102981,1.00380815392921,500
"gamma[1,3]",0.827891807024729,0.0485052189623552,0.734204099224492,0.7953943996843,0.827070313434674,0.86037212177889,0.924172580515446,1.00139225301709,2500
"gamma[2,3]",0.0633978803501814,0.0537771912190257,0.00201150721479713,0.0225446637859548,0.0494213015699624,0.0909728268323093,0.195632996094878,1.00079922600252,5000
"gamma[1,4]",0.92005535445143,0.0788946672087667,0.764240140612425,0.868207358535731,0.922374631266857,0.973133228126608,1.07731874592908,1.00541654835437,680
"gamma[2,4]",0.0757979392054468,0.077046500178289,0.00211578803326143,0.0223502156350041,0.05203229074698,0.100983057723684,0.29409389070535,1.00152772439949,2100
"gamma[1,5]",0.849898781284901,0.0667482348995369,0.719201925337917,0.805535068844242,0.849628081170378,0.892182094425336,0.987543398392848,1.0016719099203,1700
"gamma[2,5]",0.364747522384421,0.105998283127863,0.151631016827375,0.292829486567329,0.366213936871295,0.439147108773837,0.564528187620882,1.00894024430279,420
"gamma[1,6]",0.904675459943465,0.0730487641030379,0.772310165106267,0.854943645436362,0.900975756459827,0.949461389254828,1.06010132325423,1.01280066427585,150
"gamma[2,6]",0.363251601846491,0.167347762533116,0.0581780240731824,0.242103709000176,0.357019720504701,0.481925328348307,0.696607624526275,1.0064683682932,340
"gamma_mu",0.874029060650431,0.0411885612639534,0.794751907985871,0.846053740914883,0.873175111819272,0.901256259276822,0.955958524650216,1.00916200664336,200
"gamma_tau",287.28682070472,115.774476761823,108.081836859011,185.82636050679,280.694493514427,387.416650987838,489.870750072528,1.00589509788681,300
